2020.08.12 21:14:50 INFO  started: Metals version 0.9.2 in workspace 'C:\_Ongoing\scalaproject\groupbyage' for client vscode.
2020.08.12 21:14:52 INFO  time: initialize in 2.45s
2020.08.12 21:14:54 INFO  no build target: using presentation compiler with only scala-library
2020.08.12 21:15:04 WARN  no build target for: C:\_Ongoing\scalaproject\groupbyage\src\main\scala\FriendsByAge.scala
something's wrong: no file:///c%3A/_Ongoing/scalaproject/groupbyage/src/main/scala/FriendsByAge.scala in Array[String]RangePosition(file:///c%3A/_Ongoing/scalaproject/groupbyage/src/main/scala/FriendsByAge.scala, 748, 748, 761)
2020.08.12 21:22:18 WARN  no build target for: C:\_Ongoing\scalaproject\groupbyage\src\main\scala\FriendsByAge.scala
2020.08.12 21:24:37 WARN  code navigation does not work for the file 'C:\_Ongoing\scalaproject\groupbyage\src\main\scala\FriendsByAge.scala' because it doesn't belong to a build target.
2020.08.12 21:56:09 INFO  shutting down Metals
2020.08.13 19:10:37 INFO  started: Metals version 0.9.2 in workspace 'C:\_Ongoing\scalaproject\groupbyage' for client vscode.
2020.08.13 19:10:38 INFO  time: initialize in 1.2s
2020.08.13 19:10:39 INFO  no build target: using presentation compiler with only scala-library
2020.08.13 19:10:39 INFO  skipping build import with status 'Requested'
2020.08.13 19:10:42 WARN  no build target for: C:\_Ongoing\scalaproject\groupbyage\src\main\scala\FriendsByAge.scala
2020.08.13 19:20:28 WARN  code navigation does not work for the file 'C:\_Ongoing\scalaproject\groupbyage\src\main\scala\FriendsByAge.scala' because it doesn't belong to a build target.
2020.08.13 19:21:20 WARN  code navigation does not work for the file 'C:\_Ongoing\scalaproject\groupbyage\src\main\scala\FriendsByAge.scala' because it doesn't belong to a build target.
2020.08.13 19:21:20 WARN  code navigation does not work for the file 'C:\_Ongoing\scalaproject\groupbyage\src\main\scala\FriendsByAge.scala' because it doesn't belong to a build target.
2020.08.13 20:55:36 WARN  code navigation does not work for the file 'C:\_Ongoing\scalaproject\groupbyage\src\main\scala\FriendsByAge.scala' because it doesn't belong to a build target.
2020.08.13 22:18:56 INFO  shutting down Metals
